                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.27917,                0.94444,                      1,                0.81763,             0.00024747,             0.00024747,             0.00024747
                     68,                0.32058,                0.94444,                      1,                0.82446,              0.0002404,              0.0002404,              0.0002404
                     69,                0.30379,                0.94444,                      1,                0.82031,             0.00023334,             0.00023334,             0.00023334
                     70,                0.30105,                0.91667,                      1,                0.81519,             0.00022627,             0.00022627,             0.00022627
                     71,                0.35526,                0.91667,                      1,                0.82959,              0.0002192,              0.0002192,              0.0002192
                     72,                 0.2134,                0.88889,                      1,                0.80835,             0.00021213,             0.00021213,             0.00021213
                     73,                0.29399,                0.94444,                      1,                 0.8103,             0.00020506,             0.00020506,             0.00020506
                     74,                0.27955,                0.94444,                      1,                0.86328,             0.00019799,             0.00019799,             0.00019799
                     75,                0.36501,                0.97222,                      1,                0.80469,             0.00019092,             0.00019092,             0.00019092
                     76,                0.22456,                0.94444,                      1,                0.98022,             0.00018385,             0.00018385,             0.00018385
                     77,                0.18509,                0.94444,                      1,                 0.9082,             0.00017679,             0.00017679,             0.00017679
                     78,                 0.2776,                0.91667,                      1,                0.89258,             0.00016972,             0.00016972,             0.00016972
                     79,                 0.2155,                0.91667,                      1,                0.91089,             0.00016265,             0.00016265,             0.00016265
                     80,                0.21093,                0.91667,                      1,                 0.8916,             0.00015558,             0.00015558,             0.00015558
                     81,                0.23493,                0.91667,                      1,                0.79858,             0.00014851,             0.00014851,             0.00014851
                     82,                0.25469,                0.94444,                      1,                 0.7876,             0.00014144,             0.00014144,             0.00014144
                     83,                0.24388,                0.97222,                      1,                0.82104,             0.00013437,             0.00013437,             0.00013437
                     84,                 0.2017,                0.94444,                      1,                0.79272,             0.00012731,             0.00012731,             0.00012731
                     85,                0.20643,                0.94444,                      1,                0.89404,             0.00012024,             0.00012024,             0.00012024
                     86,                 0.1619,                0.94444,                      1,                0.78418,             0.00011317,             0.00011317,             0.00011317
                     87,                 0.1779,                0.97222,                      1,                0.80249,              0.0001061,              0.0001061,              0.0001061
                     88,                0.13804,                0.97222,                      1,                0.87427,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.19559,                0.97222,                      1,                0.82886,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.22326,                0.97222,                      1,                0.77808,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.26101,                0.97222,                      1,                0.78003,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.24463,                0.97222,                      1,                0.79395,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.34879,                0.97222,                      1,                0.78076,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.17247,                0.97222,                      1,                 0.8064,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.17249,                0.94444,                      1,                0.78955,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.24402,                0.94444,                      1,                0.84131,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.18587,                0.94444,                      1,                0.88721,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.32412,                0.94444,                      1,                0.78979,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.11564,                0.94444,                      1,                0.79199,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.21805,                0.91667,                      1,                0.79492,             1.4209e-05,             1.4209e-05,             1.4209e-05
